Java File Name,Lines,Comments,Lines of code,Updated comments,Updated LOC,% of comments
./java/org/assertj/core/error/ShouldBeReadable.java,50,3,47,25,25,50.00
./java/org/assertj/core/error/ShouldBeWritable.java,50,3,47,25,25,50.00
./java/org/assertj/core/error/ShouldHaveName.java,42,2,40,17,25,40.48
./java/org/assertj/core/error/uri/ShouldHaveAnchor.java,37,1,36,12,25,32.43
./java/org/assertj/core/api/FactoryBasedNavigableListAssert.java,42,2,40,18,24,42.86
./java/org/assertj/core/configuration/Services.java,41,2,39,17,24,41.46
./java/org/assertj/core/error/ElementsShouldMatch.java,36,1,35,12,24,33.33
./java/org/assertj/core/error/ShouldHaveFields.java,58,4,54,34,24,58.62
./java/org/assertj/core/error/ShouldHaveRootCauseExactlyInstance.java,49,3,46,25,24,51.02
./java/org/assertj/core/error/ShouldHaveValue.java,36,1,35,12,24,33.33
./java/org/assertj/core/error/ShouldNotBeBetween.java,62,4,58,38,24,61.29
./java/org/assertj/core/api/PredicateAssert.java,43,2,41,20,23,46.51
./java/org/assertj/core/error/OptionalShouldContainInstanceOf.java,48,3,45,25,23,52.08
./java/org/assertj/core/error/ShouldBeCanonicalPath.java,40,2,38,17,23,42.50
./java/org/assertj/core/error/ShouldBeEqualWithinPercentage.java,52,3,49,29,23,55.77
./java/org/assertj/core/error/ShouldNotBeEqualWithinPercentage.java,52,3,49,29,23,55.77
./java/org/assertj/core/api/AbstractAtomicReferenceAssert.java,43,2,41,21,22,48.84
./java/org/assertj/core/api/ComparableAssert.java,197,10,187,175,22,88.83
./java/org/assertj/core/api/EnumerableAssert.java,187,10,177,165,22,88.24
./java/org/assertj/core/api/filter/NotFilter.java,34,1,33,12,22,35.29
./java/org/assertj/core/api/iterable/ThrowingExtractor.java,43,2,41,21,22,48.84
./java/org/assertj/core/api/IterableSizeAssert.java,34,1,33,12,22,35.29
./java/org/assertj/core/api/SoftAssertionIterableAssert.java,40,2,38,18,22,45.00
./java/org/assertj/core/api/SoftAssertions.java,164,4,160,142,22,86.59
./java/org/assertj/core/description/Description.java,43,3,40,21,22,48.84
./java/org/assertj/core/error/ShouldBeAfterYear.java,52,4,48,30,22,57.69
./java/org/assertj/core/error/ShouldBeBeforeYear.java,52,4,48,30,22,57.69
./java/org/assertj/core/error/ShouldContainValue.java,52,4,48,30,22,57.69
