Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/util/diff/myers/MyersDiff$1,20,2,2
org/assertj/core/api/AbstractBDDSoftAssertions,18,2,2
org/assertj/core/api/AbstractStandardSoftAssertions,18,2,2
org/assertj/core/util/diff/myers/Snake,18,2,2
org/assertj/core/api/Java6JUnitSoftAssertions,17,2,2
org/assertj/core/api/JUnitSoftAssertions,17,2,2
org/assertj/core/api/AutoCloseableBDDSoftAssertions,16,2,2
org/assertj/core/api/AutoCloseableSoftAssertions,16,2,2
org/assertj/core/util/BigDecimalComparator,16,2,2
org/assertj/core/util/BigIntegerComparator,16,2,2
org/assertj/core/api/AbstractIterableSizeAssert,13,2,2
org/assertj/core/api/AbstractMapSizeAssert,13,2,2
org/assertj/core/api/ArraySortedAssert,4,2,2
org/assertj/core/api/IndexedObjectEnumerableAssert,4,2,2
org/assertj/core/presentation/Representation,4,2,2
org/assertj/core/api/AbstractArrayAssert,11,1,1
org/assertj/core/api/BigDecimalAssert,11,1,1
org/assertj/core/api/BigIntegerAssert,11,1,1
org/assertj/core/api/BooleanArrayAssert,11,1,1
org/assertj/core/api/ByteArrayAssert,11,1,1
org/assertj/core/api/ByteAssert,11,1,1
org/assertj/core/api/CharacterAssert,11,1,1
org/assertj/core/api/CharArrayAssert,11,1,1
org/assertj/core/api/CharSequenceAssert,11,1,1
org/assertj/core/api/DateAssert,11,1,1
org/assertj/core/api/DoubleArrayAssert,11,1,1
org/assertj/core/api/exception/PathsException,11,1,1
org/assertj/core/api/FileAssert,11,1,1
org/assertj/core/api/FloatArrayAssert,11,1,1
org/assertj/core/api/FutureAssert,11,1,1
org/assertj/core/api/GenericComparableAssert,11,1,1
org/assertj/core/api/InputStreamAssert,11,1,1
org/assertj/core/api/PathAssert,11,1,1
org/assertj/core/api/ShortArrayAssert,11,1,1
org/assertj/core/api/ShortAssert,11,1,1
org/assertj/core/api/SoftAssertionClassAssert,11,1,1
org/assertj/core/api/SoftAssertionMapAssert,11,1,1
org/assertj/core/api/StringAssert,11,1,1
org/assertj/core/api/UriAssert,11,1,1
